Country/area,Technology,Year,Public Investments (2022 Million USD)
Bangladesh,Solar thermal energy,2020,
Bangladesh,Solar thermal energy,2021,
Bangladesh,Solar thermal energy,2022,
Bangladesh,Solar thermal energy,2023,
Bangladesh,Concentrated solar power,2019,
Bangladesh,Concentrated solar power,2020,
Bangladesh,Concentrated solar power,2021,
Bangladesh,Concentrated solar power,2022,
Bangladesh,Concentrated solar power,2023,
Bangladesh,Onshore wind energy,2019,
Bangladesh,Onshore wind energy,2020,0.1
Bangladesh,Onshore wind energy,2021,
Bangladesh,Onshore wind energy,2022,
Bangladesh,Onshore wind energy,2023,
Bangladesh,Offshore wind energy,2019,
Bangladesh,Offshore wind energy,2020,
Bangladesh,Offshore wind energy,2021,
Bangladesh,Offshore wind energy,2022,
Bangladesh,Offshore wind energy,2023,
Bangladesh,Renewable hydropower,2019,0
Bangladesh,Renewable hydropower,2020,
Bangladesh,Renewable hydropower,2021,
Bangladesh,Renewable hydropower,2022,
Bangladesh,Renewable hydropower,2023,
Bangladesh,Pumped storage,2019,
Bangladesh,Pumped storage,2020,
Bangladesh,Pumped storage,2021,
Bangladesh,Pumped storage,2022,
Bangladesh,Pumped storage,2023,
Bangladesh,Marine energy,2019,
Bangladesh,Marine energy,2020,
Bangladesh,Marine energy,2021,
Bangladesh,Marine energy,2022,
Bangladesh,Marine energy,2023,
Bangladesh,Nuclear,2019,0.01
Bangladesh,Nuclear,2020,
Bangladesh,Nuclear,2021,
Bangladesh,Nuclear,2022,
Bangladesh,Nuclear,2023,
Barbados,Ongrid solar photovoltaic,2019,
Barbados,Ongrid solar photovoltaic,2020,
Barbados,Ongrid solar photovoltaic,2021,
Barbados,Ongrid solar photovoltaic,2022,
Barbados,Ongrid solar photovoltaic,2023,
Barbados,Offgrid solar photovoltaic,2019,
Barbados,Offgrid solar photovoltaic,2020,
Barbados,Offgrid solar photovoltaic,2021,
Barbados,Offgrid solar photovoltaic,2022,
Barbados,Offgrid solar photovoltaic,2023,
Barbados,Solar thermal energy,2019,
Barbados,Solar thermal energy,2020,
Barbados,Solar thermal energy,2021,
Barbados,Solar thermal energy,2022,
Barbados,Solar thermal energy,2023,
Barbados,Concentrated solar power,2019,
Barbados,Concentrated solar power,2020,
Barbados,Concentrated solar power,2021,
Barbados,Concentrated solar power,2022,
Barbados,Concentrated solar power,2023,
Barbados,Onshore wind energy,2019,
Barbados,Onshore wind energy,2020,
Barbados,Onshore wind energy,2021,
Barbados,Onshore wind energy,2022,
Barbados,Onshore wind energy,2023,
Barbados,Offshore wind energy,2019,
Barbados,Offshore wind energy,2020,
Barbados,Offshore wind energy,2021,
Barbados,Offshore wind energy,2022,
Barbados,Offshore wind energy,2023,
Barbados,Renewable hydropower,2019,
Barbados,Renewable hydropower,2020,
Barbados,Renewable hydropower,2021,
Barbados,Renewable hydropower,2022,
Barbados,Renewable hydropower,2023,
Barbados,Pumped storage,2019,
Barbados,Pumped storage,2020,
Barbados,Pumped storage,2021,
Barbados,Pumped storage,2022,
Barbados,Pumped storage,2023,
Barbados,Marine energy,2019,
Barbados,Marine energy,2020,
Barbados,Marine energy,2021,
Barbados,Marine energy,2022,
Barbados,Marine energy,2023,
Barbados,Nuclear,2019,
Barbados,Nuclear,2020,
Barbados,Nuclear,2021,
Barbados,Nuclear,2022,
Barbados,Nuclear,2023,
Belarus,Ongrid solar photovoltaic,2019,
Belarus,Ongrid solar photovoltaic,2020,
Belarus,Ongrid solar photovoltaic,2021,
Belarus,Ongrid solar photovoltaic,2022,
Belarus,Ongrid solar photovoltaic,2023,
Belarus,Offgrid solar photovoltaic,2019,
Belarus,Offgrid solar photovoltaic,2020,0.22
Belarus,Offgrid solar photovoltaic,2021,
Belarus,Offgrid solar photovoltaic,2022,
Belarus,Offgrid solar photovoltaic,2023,
Belarus,Solar thermal energy,2019,
