Country/area,Technology,2019,2020,2021,2022,2023
Cuba,Offshore wind energy,,,,,
Cuba,Ongrid solar photovoltaic,2.11,3.08,,0.91,0.24
Cuba,Onshore wind energy,0,,,,
Cuba,Pumped storage,,,,,
Cuba,Renewable hydropower,0.03,,,,
Cuba,Solar thermal energy,,,,,
Cyprus,Concentrated solar power,,,,,
Cyprus,Marine energy,,,,,
Cyprus,Nuclear,,,,,
Cyprus,Offgrid solar photovoltaic,,,,,
Cyprus,Offshore wind energy,,,,,
Cyprus,Ongrid solar photovoltaic,,,,,
Cyprus,Onshore wind energy,,,,,
Cyprus,Pumped storage,,,,,
Cyprus,Renewable hydropower,,,,,
Cyprus,Solar thermal energy,,,,,
Czechia,Concentrated solar power,,,,,
Czechia,Marine energy,,,,,
Czechia,Nuclear,,,,,
Czechia,Offgrid solar photovoltaic,,,,,
Czechia,Offshore wind energy,,,,,
Czechia,Ongrid solar photovoltaic,,,,,
Czechia,Onshore wind energy,,,,,
Czechia,Pumped storage,,,,,
Czechia,Renewable hydropower,,,,,
Czechia,Solar thermal energy,,,,,
Côte d'Ivoire,Concentrated solar power,,,,,
Côte d'Ivoire,Marine energy,,,,,
Côte d'Ivoire,Nuclear,,,,,
Côte d'Ivoire,Offgrid solar photovoltaic,11.05,,80.61,178.26,0
Côte d'Ivoire,Offshore wind energy,,,,,
Côte d'Ivoire,Ongrid solar photovoltaic,,25.75,0.09,0.02,41.07
Côte d'Ivoire,Onshore wind energy,,,,,
Côte d'Ivoire,Pumped storage,,,,,
Côte d'Ivoire,Renewable hydropower,317.59,,73.38,,3.3
Côte d'Ivoire,Solar thermal energy,,,,,
Democratic People's Republic of Korea (the),Concentrated solar power,,,,,
Democratic People's Republic of Korea (the),Marine energy,,,,,
Democratic People's Republic of Korea (the),Nuclear,,,,,
Democratic People's Republic of Korea (the),Offgrid solar photovoltaic,,,,,
Democratic People's Republic of Korea (the),Offshore wind energy,,,,,
Democratic People's Republic of Korea (the),Ongrid solar photovoltaic,,,,,
Democratic People's Republic of Korea (the),Onshore wind energy,,,,,
Democratic People's Republic of Korea (the),Pumped storage,,,,,
Democratic People's Republic of Korea (the),Renewable hydropower,,,,,
Democratic People's Republic of Korea (the),Solar thermal energy,,,,,
Democratic Republic of the Congo (the),Concentrated solar power,,,,,
Democratic Republic of the Congo (the),Marine energy,,,,,
Democratic Republic of the Congo (the),Nuclear,,,,,
Democratic Republic of the Congo (the),Offgrid solar photovoltaic,0,,18.51,1.6,34.63
Democratic Republic of the Congo (the),Offshore wind energy,,,,,
Democratic Republic of the Congo (the),Ongrid solar photovoltaic,0.71,0.05,1.15,0.95,6.19
Democratic Republic of the Congo (the),Onshore wind energy,,,,,
Democratic Republic of the Congo (the),Pumped storage,,,,,
Democratic Republic of the Congo (the),Renewable hydropower,,,4.61,,
Democratic Republic of the Congo (the),Solar thermal energy,,,,,
Denmark,Concentrated solar power,,,,,
Denmark,Marine energy,,,,,
Denmark,Nuclear,,,,,
Denmark,Offgrid solar photovoltaic,,,,,
Denmark,Offshore wind energy,,,236.93,,
Denmark,Ongrid solar photovoltaic,,,,,
Denmark,Onshore wind energy,,,,,88.22
Denmark,Pumped storage,,,,35.34,
Denmark,Renewable hydropower,,,,,
Denmark,Solar thermal energy,,,,,
Djibouti,Concentrated solar power,,,,,
Djibouti,Marine energy,,,,,
Djibouti,Nuclear,,,,,
Djibouti,Offgrid solar photovoltaic,1.8,0.07,,31.9,
Djibouti,Offshore wind energy,,,,,
Djibouti,Ongrid solar photovoltaic,,,,,
Djibouti,Onshore wind energy,22.7,,,33.34,
Djibouti,Pumped storage,,,,,
Djibouti,Renewable hydropower,,,,0.52,
Djibouti,Solar thermal energy,,,,,
Dominica,Concentrated solar power,,,,,
Dominica,Marine energy,,,,,
Dominica,Nuclear,,,,,
Dominica,Offgrid solar photovoltaic,,,,,
Dominica,Offshore wind energy,,,,,
Dominica,Ongrid solar photovoltaic,,,,,
Dominica,Onshore wind energy,,,,,
Dominica,Pumped storage,,,,,
Dominica,Renewable hydropower,,,,,
Dominica,Solar thermal energy,,,,,
Dominican Republic (the),Concentrated solar power,,,,,
Dominican Republic (the),Marine energy,,,,,
Dominican Republic (the),Nuclear,,,,,
Dominican Republic (the),Offgrid solar photovoltaic,0.03,0.03,0,56,
Dominican Republic (the),Offshore wind energy,,,,,
Dominican Republic (the),Ongrid solar photovoltaic,0.08,,2.91,32,35.29
Dominican Republic (the),Onshore wind energy,3.55,0.27,25.33,,
Dominican Republic (the),Pumped storage,,,,,
Dominican Republic (the),Renewable hydropower,0.16,,,,56.76
Dominican Republic (the),Solar thermal energy,,,,,
Ecuador,Concentrated solar power,,,,,
Ecuador,Marine energy,,,,,
Ecuador,Nuclear,,,,,
Ecuador,Offgrid solar photovoltaic,,,3.15,77,95.83
Ecuador,Offshore wind energy,,,,,
Ecuador,Ongrid solar photovoltaic,,,2.28,,138.94
Ecuador,Onshore wind energy,,,,,
Ecuador,Pumped storage,,,,,
Ecuador,Renewable hydropower,,,,,
Ecuador,Solar thermal energy,,,,,
Egypt,Concentrated solar power,,,,,
Egypt,Marine energy,,,,,
Egypt,Nuclear,,0.11,,,
Egypt,Offgrid solar photovoltaic,,,,,
Egypt,Offshore wind energy,,,,,
Egypt,Ongrid solar photovoltaic,34.87,22.81,68.29,360.17,
Egypt,Onshore wind energy,126.52,129.39,,353.24,65.94
Egypt,Pumped storage,,,,,
Egypt,Renewable hydropower,0,,,27.34,14.84
Egypt,Solar thermal energy,,,,,
El Salvador,Concentrated solar power,,,,,
El Salvador,Marine energy,,,,,
El Salvador,Nuclear,,,,,
El Salvador,Offgrid solar photovoltaic,,,,,
El Salvador,Offshore wind energy,,,,,
El Salvador,Ongrid solar photovoltaic,,,,0.07,
El Salvador,Onshore wind energy,,,,,
El Salvador,Pumped storage,,,,,
El Salvador,Renewable hydropower,,,,100,
El Salvador,Solar thermal energy,,,,,
Equatorial Guinea,Concentrated solar power,,,,,
Equatorial Guinea,Marine energy,,,,,
Equatorial Guinea,Nuclear,,,,,
Equatorial Guinea,Offgrid solar photovoltaic,,,,,
Equatorial Guinea,Offshore wind energy,,,,,
Equatorial Guinea,Ongrid solar photovoltaic,,,,,
Equatorial Guinea,Onshore wind energy,,,,,
Equatorial Guinea,Pumped storage,,,,,
Equatorial Guinea,Renewable hydropower,,,,,
Equatorial Guinea,Solar thermal energy,,,,,
Eritrea,Concentrated solar power,,,,,
Eritrea,Marine energy,,,,,
Eritrea,Nuclear,,,,,
Eritrea,Offgrid solar photovoltaic,,0,,0.25,
Eritrea,Offshore wind energy,,,,,
Eritrea,Ongrid solar photovoltaic,,,,,46.39
Eritrea,Onshore wind energy,,,,,
Eritrea,Pumped storage,,,,,
Eritrea,Renewable hydropower,,,,,
