country_code,country,continent,indicator,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
ASM,American Samoa,Oceania,solar_pv_cap_mw_off_grid,1.5,1.5,1.5,1.5,1.5,1.5
ASM,American Samoa,Oceania,solar_pv_cap_mw_on_grid,3.31,3.31,3.31,5.61,5.61,5.61
ASM,American Samoa,Oceania,solar_thermal_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,solar_thermal_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,solar_thermal_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,solar_thermal_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,total_renewable_gen_gwh_off_grid,2.79,2.79,2.79,2.26,2.26,NA
ASM,American Samoa,Oceania,total_renewable_gen_gwh_on_grid,4.64,3.76,2.79,1.83,1.83,NA
ASM,American Samoa,Oceania,total_renewable_cap_mw_off_grid,1.5,1.5,1.5,1.5,1.5,1.5
ASM,American Samoa,Oceania,total_renewable_cap_mw_on_grid,3.31,3.31,3.31,5.61,5.61,5.61
AND,Andorra,Europe,renewable_elec_pct,96.6070777088654,97.3833824234537,93.3403907227408,NA,NA,NA
AND,Andorra,Europe,renewable_prod_kwh,22260000,20770000,18160000,NA,NA,NA
AND,Andorra,Europe,hydro_elec_pct,83.0718715797154,83.1563805740119,75.8637282263497,NA,NA,NA
AND,Andorra,Europe,renewable_prod_pct,13.5352061291499,14.2270018494417,17.4766624963911,NA,NA,NA
AND,Andorra,Europe,energy_invest_private_usd,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,energy_invest_ppp_usd,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,renewable_consump_pct,17.2,20.9,18.4,18.7,NA,NA
AND,Andorra,Europe,GHG_emissions_total,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,mixed_hydro_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,mixed_hydro_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,mixed_hydro_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,mixed_hydro_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,nuclear_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,nuclear_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,nuclear_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,nuclear_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,offshore_wind_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,offshore_wind_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,offshore_wind_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
AND,Andorra,Europe,offshore_wind_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
