Country/area,Technology,Data Type,Grid connection,2019,2020,2021,2022,2023,2024
Antigua and Barbuda,Other non-renewable energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Antigua and Barbuda,Pumped storage,Electricity Generation (GWh),Off-grid,,,,,,
Antigua and Barbuda,Pumped storage,Electricity Generation (GWh),On-grid,,,,,,
Antigua and Barbuda,Pumped storage,Electricity Installed Capacity (MW),Off-grid,,,,,,
Antigua and Barbuda,Pumped storage,Electricity Installed Capacity (MW),On-grid,,,,,,
Antigua and Barbuda,Renewable hydropower,Electricity Generation (GWh),Off-grid,,,,,,
Antigua and Barbuda,Renewable hydropower,Electricity Generation (GWh),On-grid,,,,,,
Antigua and Barbuda,Renewable hydropower,Electricity Installed Capacity (MW),Off-grid,,,,,,
Antigua and Barbuda,Renewable hydropower,Electricity Installed Capacity (MW),On-grid,,,,,,
Antigua and Barbuda,Solar photovoltaic,Electricity Generation (GWh),Off-grid,0.64,0.64,0.64,0.65,,
Antigua and Barbuda,Solar photovoltaic,Electricity Generation (GWh),On-grid,13.07,16.34,21.18,22.76,23.33,
Antigua and Barbuda,Solar photovoltaic,Electricity Installed Capacity (MW),Off-grid,0.41,0.41,0.41,0.41,0.41,0.41
Antigua and Barbuda,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,8.3,12.45,14.45,14.45,15.17,15.17
Antigua and Barbuda,Solar thermal energy,Electricity Generation (GWh),Off-grid,,,,,,
Antigua and Barbuda,Solar thermal energy,Electricity Generation (GWh),On-grid,,,,,,
Antigua and Barbuda,Solar thermal energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Antigua and Barbuda,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Antigua and Barbuda,Total renewable,Electricity Generation (GWh),Off-grid,0.64,0.64,0.64,0.65,,
Antigua and Barbuda,Total renewable,Electricity Generation (GWh),On-grid,13.07,16.34,21.18,22.76,23.33,
Antigua and Barbuda,Total renewable,Electricity Installed Capacity (MW),Off-grid,0.41,0.41,0.41,0.41,0.41,0.41
